PLAYER_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY,AGE
1630173,Precious Achiuwa,Raptors,Forward,203,102,Nigeria,1999-09-19,2,20,134.0,18.4,7.2,5.1,0.8,0.4,0.5,2022-10-02,2840160,"22 years, 11 months, 12 days"
203500,Steven Adams,Grizzlies,Center,210,120,New Zealand,1993-07-20,9,12,664.0,26.8,9.3,8.0,1.5,0.9,0.9,2022-10-01,17926829,"29 years, 1 months, 11 days"
1628389,Bam Adebayo,Heat,Center,205,115,USA,1997-07-18,5,14,343.0,28.2,13.5,8.3,3.5,1.0,0.9,2022-10-04,30351780,"25 years, 1 months, 13 days"
1630583,Santi Aldama,Grizzlies,Forward,210,97,Spain,2001-01-10,1,30,32.0,11.2,4.1,2.7,0.7,0.2,0.3,2022-10-01,2094120,"21 years, 7 months, 21 days"
1629638,Nickeil Alexander-Walker,Jazz,Guard,195,92,Canada,1998-09-02,3,17,158.0,19.4,9.3,2.6,2.2,0.7,0.3,2022-10-02,5009633,"23 years, 11 months, 29 days"
1628960,Grayson Allen,Bucks,Guard,193,89,USA,1995-10-08,4,21,192.0,21.9,9.4,2.6,1.5,0.6,0.2,2022-10-01,8500000,"26 years, 10 months, 23 days"
1628386,Jarrett Allen,Cavaliers,Center,208,110,USA,1998-04-21,5,22,341.0,26.6,11.6,8.7,1.4,0.5,1.4,2022-10-05,20000000,"24 years, 4 months, 10 days"
1630631,Jose Alvarado,Pelicans,Guard,182,81,USA,1998-04-12,1,0,54.0,15.4,6.1,1.9,2.8,1.3,0.1,2022-10-04,1563518,"24 years, 4 months, 19 days"
203937,Kyle Anderson,Timberwolves,Forward,205,104,USA,1993-09-20,8,30,505.0,21.0,6.7,4.4,2.3,1.0,0.6,2022-10-04,8780488,"28 years, 11 months, 11 days"
203507,Giannis Antetokounmpo,Bucks,Forward,210,109,Greece,1994-12-06,9,15,656.0,32.6,21.8,9.4,4.6,1.2,1.3,2022-10-01,42492492,"27 years, 8 months, 25 days"
203648,Thanasis Antetokounmpo,Bucks,Forward,198,99,Greece,1992-07-18,4,51,127.0,9.1,3.1,2.0,0.7,0.4,0.2,2022-10-01,1878720,"30 years, 1 months, 13 days"
1630175,Cole Anthony,Magic,Guard,190,83,USA,2000-05-15,2,15,112.0,29.8,14.9,5.1,5.0,0.7,0.3,2022-10-03,3613680,"22 years, 3 months, 16 days"
1628384,OG Anunoby,Raptors,Forward,200,105,United Kingdom,1997-07-17,5,23,301.0,26.8,10.4,4.1,1.4,1.1,0.5,2022-10-02,17357143,"25 years, 1 months, 14 days"
201571,D.J. Augustin,Lakers,Guard,180,83,USA,1987-11-10,14,9,976.0,23.4,9.5,1.8,3.9,0.6,0.0,2022-10-03,333333,"34 years, 9 months, 21 days"
1630166,Deni Avdija,Wizards,Forward,205,95,Israel,2001-01-03,2,9,136.0,23.8,7.6,5.1,1.7,0.7,0.4,2022-09-30,4916160,"21 years, 7 months, 28 days"
1629028,Deandre Ayton,Suns,Center,210,113,Bahamas,1998-07-23,4,1,236.0,30.7,16.3,10.5,1.6,0.7,1.0,2022-10-02,30913750,"24 years, 1 months, 8 days"
1628962,Udoka Azubuike,Jazz,Center,213,122,Nigeria,1999-09-17,2,27,32.0,7.9,3.0,2.6,0.0,0.1,0.5,2022-10-02,2174880,"22 years, 11 months, 14 days"
1628963,Marvin Bagley III,Pistons,Forward,210,106,USA,1999-03-14,4,2,166.0,25.1,13.6,7.4,0.9,0.5,0.7,2022-10-04,12500000,"23 years, 5 months, 17 days"
1630163,LaMelo Ball,Hornets,Guard,200,81,USA,2001-08-22,2,3,126.0,30.9,18.3,6.4,7.0,1.6,0.4,2022-10-02,8623920,"21 years, 0 months, 9 days"
1628366,Lonzo Ball,Bulls,Guard,198,86,USA,1997-10-27,5,2,252.0,32.5,11.9,5.7,6.2,1.6,0.6,2022-10-04,19534884,"24 years, 10 months, 4 days"
1628964,Mo Bamba,Magic,Center,213,104,USA,1998-05-12,4,6,226.0,18.6,7.7,6.1,0.9,0.4,1.4,2022-10-03,10300000,"24 years, 3 months, 19 days"
1630217,Desmond Bane,Grizzlies,Guard,195,97,USA,1998-06-25,2,30,144.0,26.3,14.0,3.8,2.3,0.9,0.3,2022-10-01,2130240,"24 years, 2 months, 6 days"
1630625,Dalano Banton,Raptors,Forward,200,92,Canada,1999-11-07,1,46,64.0,10.9,3.2,1.9,1.5,0.4,0.2,2022-10-02,1563518,"22 years, 9 months, 24 days"
203084,Harrison Barnes,Kings,Forward,203,102,USA,1992-05-30,10,7,747.0,31.8,14.1,5.1,1.8,0.7,0.2,2022-10-03,18352273,"30 years, 3 months, 1 days"
1630567,Scottie Barnes,Raptors,Forward,200,102,USA,2001-08-01,1,4,74.0,35.4,15.3,7.5,3.5,1.1,0.7,2022-10-02,7644600,"21 years, 0 months, 30 days"
1629628,RJ Barrett,Knicks,Forward,198,97,Canada,2000-06-14,3,3,198.0,33.5,17.5,5.6,2.9,0.8,0.3,2022-10-04,10900635,"22 years, 2 months, 17 days"
203115,Will Barton,Wizards,Guard,195,82,USA,1991-01-06,10,40,623.0,25.9,11.6,4.3,2.7,0.8,0.4,2022-09-30,14375000,"31 years, 7 months, 25 days"
1629646,Charles Bassey,76ers,Center,205,104,Nigeria,2000-10-28,1,53,23.0,7.3,3.0,2.7,0.3,0.2,0.7,2022-10-03,1563518,"21 years, 10 months, 3 days"
1628966,Keita Bates-Diop,Spurs,Forward,203,103,USA,1996-01-23,4,48,163.0,15.0,5.2,3.0,0.6,0.5,0.3,2022-10-02,1878720,"26 years, 7 months, 8 days"
201587,Nicolas Batum,Clippers,Guard,203,104,France,1988-12-14,14,25,915.0,30.6,11.1,5.1,3.5,1.0,0.6,2022-09-30,19700319,"33 years, 8 months, 17 days"
1629647,Darius Bazley,Thunder,Forward,203,94,USA,2000-06-12,3,23,185.0,25.8,10.0,5.8,1.3,0.6,0.7,2022-10-03,4264629,"22 years, 2 months, 19 days"
203078,Bradley Beal,Wizards,Guard,193,93,USA,1993-06-28,10,3,645.0,34.8,22.1,4.1,4.2,1.1,0.4,2022-09-30,43279250,"29 years, 2 months, 3 days"
1627736,Malik Beasley,Jazz,Guard,193,84,USA,1996-11-26,6,19,336.0,20.9,10.4,2.5,1.2,0.6,0.1,2022-10-02,15558035,"25 years, 9 months, 5 days"
202722,Davis Bertans,Mavericks,Forward,208,102,Latvia,1992-11-12,6,42,387.0,19.1,8.2,2.7,1.0,0.4,0.4,2022-10-05,16000000,"29 years, 9 months, 19 days"
201976,Patrick Beverley,Lakers,Guard,185,81,USA,1988-07-12,10,42,526.0,27.4,8.8,4.3,3.5,1.1,0.5,2022-10-03,13000000,"34 years, 1 months, 19 days"
1630180,Saddiq Bey,Pistons,Forward,200,97,USA,1999-04-09,2,19,152.0,30.4,14.3,5.0,2.2,0.8,0.2,2022-10-04,2959080,"23 years, 4 months, 22 days"
203920,Khem Birch,Raptors,Center,205,105,Canada,1992-09-28,5,0,262.0,17.8,5.2,4.6,1.0,0.5,0.6,2022-10-02,6667500,"29 years, 11 months, 3 days"
1629048,Goga Bitadze,Pacers,Center,213,113,Georgia,1999-07-20,3,18,149.0,11.8,5.0,2.9,0.8,0.3,0.9,2022-10-05,4765339,"23 years, 1 months, 11 days"
202687,Bismack Biyombo,Suns,Center,203,115,DRC,1992-08-28,11,7,738.0,19.9,5.2,6.1,0.6,0.3,1.3,2022-10-02,1836090,"30 years, 0 months, 3 days"
202339,Eric Bledsoe,Trail Blazers,Guard,185,97,USA,1989-12-09,13,18,756.0,27.8,13.7,3.9,4.7,1.4,0.5,,1300000,"32 years, 8 months, 22 days"
203992,Bogdan Bogdanovic,Hawks,Guard,198,102,Serbia,1992-08-18,5,27,316.0,28.6,14.2,3.4,3.4,1.0,0.2,2022-10-06,18000000,"30 years, 0 months, 13 days"
202711,Bojan Bogdanovic,Jazz,Forward,200,102,Croatia,1989-04-18,8,31,603.0,29.1,15.0,3.6,1.6,0.6,0.1,2022-10-02,19550000,"33 years, 4 months, 13 days"
1629626,Bol Bol,Magic,Center,218,99,Sudan,1999-11-16,3,44,53.0,6.2,2.7,1.2,0.3,0.1,0.3,2022-10-03,2200000,"22 years, 9 months, 15 days"
1630195,Leandro Bolmaro,Jazz,Forward,198,90,Argentina,2000-09-11,1,23,35.0,6.9,1.4,1.2,0.6,0.2,0.0,2022-10-02,2471160,"21 years, 11 months, 20 days"
1626164,Devin Booker,Suns,Guard,195,93,USA,1996-10-30,7,13,477.0,33.7,23.5,3.9,4.7,0.8,0.3,2022-10-02,33833400,"25 years, 10 months, 1 days"
1628449,Chris Boucher,Raptors,Forward,205,90,Saint Lucia,1993-01-11,5,0,231.0,17.9,9.0,5.3,0.5,0.5,1.2,2022-10-02,12690000,"29 years, 7 months, 20 days"
1630547,James Bouknight,Hornets,Guard,193,86,USA,2000-09-18,1,11,31.0,9.8,4.6,1.7,0.8,0.2,0.0,2022-10-02,4362240,"21 years, 11 months, 13 days"
1628396,Tony Bradley,Bulls,Center,208,112,USA,1998-01-08,5,28,167.0,11.7,4.6,4.3,0.5,0.2,0.6,2022-10-04,2036318,"24 years, 7 months, 23 days"
1628969,Mikal Bridges,Suns,Forward,198,94,USA,1996-08-30,4,10,309.0,31.3,11.3,3.9,2.1,1.3,0.6,2022-10-02,20100000,"26 years, 0 months, 1 days"
1629052,Oshae Brissett,Pacers,Forward,200,95,Canada,1998-06-20,3,0,107.0,20.7,8.2,4.7,0.9,0.6,0.5,2022-10-05,1846738,"24 years, 2 months, 11 days"
1627763,Malcolm Brogdon,Celtics,Guard,195,103,USA,1992-12-11,6,36,333.0,30.2,15.5,4.2,4.8,0.9,0.2,2022-10-02,22600000,"29 years, 8 months, 20 days"
1629717,Armoni Brooks,Raptors,Guard,190,88,USA,1998-06-05,3,0,74.0,18.4,6.9,2.3,1.2,0.5,0.2,,50000,"24 years, 2 months, 26 days"
1628415,Dillon Brooks,Grizzlies,Guard,200,102,Canada,1996-01-22,5,45,272.0,28.2,14.5,3.0,2.0,1.0,0.3,2022-10-01,11400000,"26 years, 7 months, 9 days"
1628971,Bruce Brown,Nuggets,Guard,193,91,USA,1996-08-15,4,42,269.0,23.5,7.6,4.3,2.1,0.9,0.5,2022-10-03,6479000,"26 years, 0 months, 16 days"
1627759,Jaylen Brown,Celtics,Guard,198,101,USA,1996-10-24,6,3,403.0,28.7,16.5,4.9,2.0,0.9,0.4,2022-10-02,28741071,"25 years, 10 months, 7 days"
1629650,Moses Brown,Clippers,Center,218,111,USA,1999-10-13,3,0,92.0,14.1,6.0,5.8,0.1,0.4,0.7,2022-09-30,1836090,"22 years, 10 months, 18 days"
1628425,Sterling Brown,Rockets,Guard,195,99,USA,1995-02-10,5,46,264.0,16.8,5.4,3.3,1.0,0.5,0.2,2022-10-02,3000000,"27 years, 6 months, 21 days"
1630535,Greg Brown III,Trail Blazers,Forward,200,93,USA,2001-09-01,1,43,48.0,13.3,4.7,2.8,0.7,0.5,0.5,2022-10-03,1563518,"20 years, 11 months, 30 days"
1628972,Troy Brown Jr.,Lakers,Guard,198,97,USA,1999-07-28,4,15,221.0,18.5,6.4,3.8,1.6,0.7,0.1,2022-10-03,1836090,"23 years, 1 months, 3 days"
1628973,Jalen Brunson,Knicks,Guard,185,86,USA,1996-08-31,4,33,277.0,24.7,11.9,3.0,3.7,0.6,0.0,2022-10-04,27733332,"26 years, 0 months, 0 days"
1628418,Thomas Bryant,Lakers,Center,208,112,USA,1997-07-31,5,42,170.0,20.1,10.2,5.7,1.3,0.4,0.9,2022-10-03,1836090,"25 years, 1 months, 0 days"
203493,Reggie Bullock,Mavericks,Guard,198,92,USA,1991-03-16,9,25,434.0,22.5,7.8,2.5,1.2,0.6,0.1,2022-10-05,10012800,"31 years, 5 months, 15 days"
203504,Trey Burke,Rockets,Guard,182,83,USA,1992-11-12,9,9,498.0,20.9,9.6,1.8,3.1,0.6,0.1,2022-10-02,3423750,"29 years, 9 months, 19 days"
202692,Alec Burks,Pistons,Guard,198,97,USA,1991-07-20,11,12,625.0,23.0,10.6,3.5,2.0,0.7,0.2,2022-10-04,10012800,"31 years, 1 months, 11 days"
1630215,Jared Butler,Jazz,Guard,190,87,USA,2000-08-25,1,40,42.0,8.6,3.8,1.1,1.5,0.4,0.2,2022-10-02,1563518,"22 years, 0 months, 6 days"
202710,Jimmy Butler,Heat,Forward,200,104,USA,1989-09-14,11,30,690.0,33.1,17.7,5.3,4.1,1.6,0.5,2022-10-04,37653300,"32 years, 11 months, 17 days"
203484,Kentavious Caldwell-Pope,Nuggets,Guard,195,92,USA,1993-02-18,9,8,683.0,29.2,11.6,3.1,1.7,1.1,0.2,2022-10-03,14004703,"29 years, 6 months, 13 days"
1628427,Vlatko Cancar,Nuggets,Forward,203,107,Slovenia,1997-04-10,3,49,70.0,7.2,2.3,1.3,0.5,0.2,0.1,2022-10-03,2234359,"25 years, 4 months, 21 days"
