PLAYER_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
1630173,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,2,20,134.0,18.4,7.2,5.1,0.8,0.4,0.5,OCT 02 2022,"$2,840,160"
203500,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,9,12,664.0,26.8,9.3,8.0,1.5,0.9,0.9,OCT 01 2022,"$17,926,829"
1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,5,14,343.0,28.2,13.5,8.3,3.5,1.0,0.9,OCT 04 2022,"$30,351,780"
1630583,Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,1,30,32.0,11.2,4.1,2.7,0.7,0.2,0.3,OCT 01 2022,"$2,094,120"
200746,LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,16,2,1076.0,33.7,19.1,8.1,1.9,0.7,1.1,OCT 03 2022,
1629638,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,3,17,158.0,19.4,9.3,2.6,2.2,0.7,0.3,OCT 02 2022,"$5,009,633"
1628960,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,4,21,192.0,21.9,9.4,2.6,1.5,0.6,0.2,OCT 01 2022,"$8,500,000"
1628386,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,5,22,341.0,26.6,11.6,8.7,1.4,0.5,1.4,OCT 05 2022,"$20,000,000"
1630631,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,1,Undrafted,54.0,15.4,6.1,1.9,2.8,1.3,0.1,OCT 04 2022,"$1,563,518"
203937,Kyle Anderson,Timberwolves,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,8,30,505.0,21.0,6.7,4.4,2.3,1.0,0.6,OCT 04 2022,"$8,780,488"
203507,Giannis Antetokounmpo,Bucks,Forward,6-11,242,Greece,1994-12-06T00:00:00,9,15,656.0,32.6,21.8,9.4,4.6,1.2,1.3,OCT 01 2022,"$42,492,492"
203648,Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,4,51,127.0,9.1,3.1,2.0,0.7,0.4,0.2,OCT 01 2022,"$1,878,720"
2546,Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,19,3,1260.0,34.5,22.5,6.2,2.7,1.0,0.5,OCT 03 2022,
1630175,Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,2,15,112.0,29.8,14.9,5.1,5.0,0.7,0.3,OCT 03 2022,"$3,613,680"
1628384,OG Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,5,23,301.0,26.8,10.4,4.1,1.4,1.1,0.5,OCT 02 2022,"$17,357,143"
1627853,Ryan Arcidiacono,Bulls,Guard,6-3,195,USA,1994-03-26T00:00:00,6,Undrafted,217.0,17.2,4.6,2.0,2.1,0.5,0.0,,
201571,D.J. Augustin,Lakers,Guard,5-11,183,USA,1987-11-10T00:00:00,14,9,976.0,23.4,9.5,1.8,3.9,0.6,0.0,OCT 03 2022,"$333,333"
1630166,Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,2,9,136.0,23.8,7.6,5.1,1.7,0.7,0.4,SEP 30 2022,"$4,916,160"
1629028,Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,4,1,236.0,30.7,16.3,10.5,1.6,0.7,1.0,OCT 02 2022,"$30,913,750"
1628962,Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,2,27,32.0,7.9,3.0,2.6,0.0,0.1,0.5,OCT 02 2022,"$2,174,880"
1628963,Marvin Bagley III,Pistons,Forward,6-11,235,USA,1999-03-14T00:00:00,4,2,166.0,25.1,13.6,7.4,0.9,0.5,0.7,OCT 04 2022,"$12,500,000"
1630163,LaMelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,2,3,126.0,30.9,18.3,6.4,7.0,1.6,0.4,OCT 02 2022,"$8,623,920"
1628366,Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,5,2,252.0,32.5,11.9,5.7,6.2,1.6,0.6,OCT 04 2022,"$19,534,884"
1628964,Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,4,6,226.0,18.6,7.7,6.1,0.9,0.4,1.4,OCT 03 2022,"$10,300,000"
1630217,Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,2,30,144.0,26.3,14.0,3.8,2.3,0.9,0.3,OCT 01 2022,"$2,130,240"
1630625,Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,1,46,64.0,10.9,3.2,1.9,1.5,0.4,0.2,OCT 02 2022,"$1,563,518"
203084,Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,10,7,747.0,31.8,14.1,5.1,1.8,0.7,0.2,OCT 03 2022,"$18,352,273"
1630567,Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,1,4,74.0,35.4,15.3,7.5,3.5,1.1,0.7,OCT 02 2022,"$7,644,600"
1629628,RJ Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,3,3,198.0,33.5,17.5,5.6,2.9,0.8,0.3,OCT 04 2022,"$10,900,635"
203115,Will Barton,Wizards,Guard,6-5,181,USA,1991-01-06T00:00:00,10,40,623.0,25.9,11.6,4.3,2.7,0.8,0.4,SEP 30 2022,"$14,375,000"
1629646,Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,1,53,23.0,7.3,3.0,2.7,0.3,0.2,0.7,OCT 03 2022,"$1,563,518"
